Pair,Entry Time,Exit Time,Alloc,EntryZ,ZScale,Trade Return,Trade Costs,Slippage,Alpha PnL,Realized PnL,Capital After
KOZAL-SISE,2022-08-02,2022-08-08,101321.49225728764,-3.1432111436678825,1.0,0.012484675797186345,81.05719380583011,40.528596902915055,1264.9659821193627,1143.3801914106175,1682137.116216161
SASA-TAVHL,2022-07-25,2022-08-09,99308.33489673675,1.9663641995142396,1.0,-0.03325984383650568,79.4466679173894,39.7233339586947,-3302.979710328872,-3422.149712204956,1679452.465944133
PETKM-TSKB,2022-06-22,2022-08-11,97821.85941488612,1.8357716353085547,1.0,0.17661702841047877,78.2574875319089,39.12874376595445,17277.0061234448,17159.619892146937,1698085.415657118
KRDMD-VESTL,2022-07-14,2022-08-11,98241.60421695556,-2.4663686460192493,1.0,-0.1709543840293988,78.59328337356445,39.29664168678222,-16794.832934969625,-16912.72286002997,1681172.692797088
OYAKC-TUPRS,2022-07-21,2022-08-16,99131.69844458479,1.7842141589973968,1.0,0.03880543478231516,79.30535875566784,39.65267937783392,3846.848658851468,3727.890620717966,1688568.8800714249
TTKOM-TUPRS,2022-07-28,2022-08-17,101097.87476814531,-1.9756401950737386,1.0,-0.042134556516129386,80.87829981451625,40.43914990725813,-4259.7141180789895,-4381.031567800764,1684928.3969524945
AKBNK-BRSAN,2022-06-10,2022-08-18,95347.55064511696,2.259548375737803,1.0,0.06690010001743102,76.27804051609357,38.139020258046784,6378.760674575395,6264.343613801254,1691948.5148052007
SAHOL-YKBNK,2022-06-27,2022-08-19,50233.81697974601,2.3698569621048793,1.0,0.0006411076072021793,40.18705358379681,20.093526791898405,32.20528220451717,-28.075298171178048,1692673.7471435724
THYAO-TTKOM,2022-07-01,2022-08-23,96295.48747983194,3.578735837815291,1.0,-0.16273665305054552,77.03638998386555,38.51819499193277,-15670.80533633856,-15786.359921314359,1679927.315431963
KOZAL-TKFEN,2022-07-06,2022-08-29,97683.07072861925,-2.1226572294404074,1.0,0.023572724618147897,78.1464565828954,39.0732282914477,2302.656126140805,2185.4364412664618,1686640.0941958788
TCELL-ULKER,2022-08-08,2022-08-29,100928.22697296966,2.2099084684869283,1.0,-0.09937254106657954,80.74258157837573,40.37129078918787,-10029.494379648488,-10150.60825201605,1676489.4859438627
FROTO-TCELL,2022-07-14,2022-09-01,96989.0741282163,-2.1129559923532875,1.0,0.15917505317731395,77.59125930257305,38.795629651286525,15438.241031977275,15321.854143023416,1694047.6539065444
SASA-TUPRS,2022-08-17,2022-09-01,101095.70381714967,-2.7865988616847623,1.0,-0.17815044355316073,80.87656305371974,40.43828152685987,-18010.244476344178,-18131.559320924756,1675916.0945856196
TTKOM-YKBNK,2022-08-19,2022-09-08,101560.42482861434,1.6168387641112067,1.0,-0.11208985205864032,81.24833986289147,40.624169931445735,-11383.892994052043,-11505.76550384638,1669267.1647644488
SASA-SOKM,2022-08-12,2022-09-09,100913.94715741005,-2.704959944227217,1.0,-0.05035452940170707,80.73115772592804,40.36557886296402,-5081.474319180118,-5202.57105576901,1664750.1867469621
BIMAS-KONTR,2022-08-09,2022-09-12,100767.14795664798,-3.984399174303858,1.0,0.11513095007813813,80.61371836531839,40.306859182659196,11601.417480913198,11480.49690336522,1678283.0441214086
KOZAL-SISE,2022-08-17,2022-09-12,101095.70381714967,1.7981922329208637,1.0,-0.25977216708606443,80.87656305371974,40.43828152685987,-26261.850063671885,-26383.164908252464,1651899.8792131562
SASA-TAVHL,2022-09-09,2022-09-15,99885.01120481773,-2.2122401770641322,1.0,-0.155676266963667,79.90800896385419,39.95400448192709,-15549.725669990072,-15669.587683435853,1638248.2778033167
PETKM-TSKB,2022-08-23,2022-09-20,83803.9844024547,-5.132503587661611,1.0,0.12400509307163456,67.04318752196377,33.52159376098189,10392.120885600207,10291.55610431726,1651973.670017659
GUBRF-TOASO,2022-06-24,2022-09-22,97906.77303250956,1.707869334888737,1.0,-0.39385114462997517,78.32541842600766,39.16270921300383,-38560.69462588108,-38678.18275352009,1614671.5865037953
KRDMD-VESTL,2022-08-19,2022-09-22,56750.25263400077,2.4371465567099544,1.0,0.055894829210927685,45.40020210720062,22.70010105360031,3172.045678654472,3103.945375493671,1617775.531879289
BIMAS-DOHOL,2022-08-03,2022-09-27,101274.97437093401,-2.8009339332747905,1.0,0.20185130936018977,81.01997949674721,40.509989748373606,20442.486182192693,20320.95621294757,1641441.8369965765
TCELL-ULKER,2022-09-14,2022-09-27,99194.3064915666,-1.6089370107789978,1.0,-0.34592578064961454,79.35544519325329,39.677722596626644,-34313.8679090923,-34432.90107688218,1607008.9359196944
EKGYO-ENJSA,2022-08-17,2022-09-28,101095.70381714967,-2.147160095677667,1.0,-0.09277797680517161,80.87656305371974,40.43828152685987,-9379.454863850011,-9500.769708430591,1598166.7033849247
SASA-SOKM,2022-09-16,2022-10-04,70888.40008332815,1.848678693128482,1.0,-0.25618525614157883,56.71072006666252,28.35536003333126,-18160.56293281414,-18245.629012914134,1583717.514113775
THYAO-TTKOM,2022-08-31,2022-10-05,100678.37185494402,-2.9679033948844897,1.0,0.12084503382565538,80.54269748395522,40.27134874197761,12166.481252322621,12045.667206096688,1596376.8280378277
SAHOL-YKBNK,2022-09-15,2022-10-10,98294.896668199,1.6388853546605207,1.0,-0.005240206446630272,78.63591733455921,39.317958667279605,-515.0855511915528,-633.0394271933916,1598835.0657382512
AKBNK-FROTO,2022-08-17,2022-10-11,101095.70381714967,-1.6706727855363963,1.0,0.11791820980834403,80.87656305371974,40.43828152685987,11921.02441343286,11799.70956885228,1611253.3519438677
FROTO-TCELL,2022-09-14,2022-10-12,99194.3064915666,1.5480172416072575,1.0,0.0476592656051166,79.35544519325329,39.677722596626644,4727.5277995969145,4608.494631807034,1616480.3343789603
BIMAS-EGEEN,2022-08-15,2022-10-13,101045.80562106888,-2.3141694526497067,1.0,0.11484252016890498,80.83664449685511,40.41832224842756,11604.354970020855,11483.100003275573,1628587.8593018583
PETKM-TSKB,2022-10-04,2022-10-21,95023.05084682649,1.5979727764249794,1.0,0.039633714169130745,76.0184406774612,38.0092203387306,3766.1164367418983,3652.0887757257065,1637290.9480179865
TTKOM-YKBNK,2022-09-28,2022-10-24,95890.00220309547,-2.6115147733267094,1.0,-0.0034425062816683394,76.71200176247638,38.35600088123819,-330.1019349333471,-445.16993757706166,1638741.3106088345
BIMAS-DOHOL,2022-10-10,2022-10-24,95930.10394429507,-1.7374091650438945,1.0,0.010082596700273866,76.74408315543606,38.37204157771803,967.2245494856785,852.1084247525243,1639593.419033587
CIMSA-OYAKC,2022-08-01,2022-10-25,101276.46640021064,-2.2648477178660715,1.0,0.4178176228439161,81.02117312016851,40.510586560084256,42315.09244136775,42193.56068168749,1682411.0588988257
PETKM-PGSUS,2022-08-15,2022-10-27,101045.80562106888,6.733628059550167,1.0,-0.516375530972969,80.83664449685511,40.41832224842756,-52177.58153017086,-52298.83649691614,1631390.288958589
GUBRF-TOASO,2022-10-05,2022-10-27,95782.60968226966,-2.159614465826209,1.0,0.0032820887707882586,76.62608774581572,38.31304387290786,314.36702767497195,199.4278960562484,1631589.7168546454
OYAKC-TUPRS,2022-09-26,2022-10-31,97226.84907662142,1.5916338575485274,1.0,-0.03176234790422275,77.78147926129714,38.89073963064857,-3088.153006003008,-3204.825224894954,1630854.1108413744
CIMSA-OYAKC,2022-10-27,2022-11-04,97895.38301127873,-1.7812430085422315,1.0,-0.18658781653025477,78.31630640902299,39.15815320451149,-18266.085764467494,-18383.56022408103,1614725.453562413
TTKOM-TUPRS,2022-09-15,2022-11-09,98294.896668199,-1.808023222556717,1.0,0.028131486672647255,78.63591733455921,39.317958667279605,2765.1815756106794,2647.227699608841,1620118.5986767083
BIMAS-DOHOL,2022-11-04,2022-11-09,96883.52721374479,1.8437695022538076,1.0,0.061604777857200935,77.50682177099584,38.75341088549792,5968.4881720248295,5852.227939368336,1625970.8266160765
AKBNK-BRSAN,2022-08-31,2022-11-15,96017.56368740712,-1.9532910341920873,1.0,0.12504247335035512,76.8140509499257,38.40702547496285,12006.273648548631,11891.052572123743,1641192.0450994207
TCELL-ULKER,2022-10-04,2022-11-16,95023.05084682649,2.040889834003719,1.0,-0.21915260128044026,76.0184406774612,38.0092203387306,-20824.548774685565,-20938.576435701758,1620813.9845892072
THYAO-TTKOM,2022-11-02,2022-11-16,97920.6300885484,-2.1895978189855727,1.0,-0.046552219502355004,78.33650407083871,39.16825203541936,-4558.422665691012,-4675.927421797271,1616138.05716741
KOZAL-TKFEN,2022-11-10,2022-11-17,97591.18591226736,1.84155475679268,1.0,-0.18864222014011806,78.07294872981389,39.036474364906944,-18409.81797659713,-18526.92739969185,1598163.9000247256
BIMAS-DOHOL,2022-11-14,2022-11-18,97724.46017060922,-2.229914493914147,1.0,-0.04371487813249603,78.17956813648738,39.08978406824369,-4272.012866922144,-4389.282219126875,1594318.4113876824
OYAKC-TUPRS,2022-11-04,2022-11-23,96883.52721374479,-3.122769255882191,1.0,0.02552124979803347,77.50682177099584,38.75341088549792,2472.5886993365543,2356.3284666800605,1599395.7263888859
TTKOM-YKBNK,2022-11-16,2022-11-24,96968.2834300446,-3.638539120201504,1.0,0.16199772500198356,77.57462674403568,38.78731337201784,15708.641313014765,15592.27937289871,1615535.409230077
